date,total_pnl,close_trades,traders,volume,avg_roi,short_share,classification,value,prev_classification,transition
2024-06-01,91.510419,9,1,6371.530000000001,0.015071916032553182,0.0,Greed,72,Greed,Greed -> Greed
2024-06-02,192.906947,34,1,10703.07,0.01985003640258624,0.0,Greed,73,Greed,Greed -> Greed
2024-06-03,562.808208,44,1,14384.74,0.036504942665489766,0.0,Greed,73,Greed,Greed -> Greed
2024-06-04,52.211438,25,1,12095.619999999999,0.0040544654833604985,0.0,Greed,73,Greed,Greed -> Greed
2024-06-05,56.055506,17,1,12647.34,0.0037675409372023537,0.0,Extreme Greed,75,Greed,Greed -> Extreme Greed
2024-06-06,274.173187,102,1,68642.33,0.005304065330268436,0.00980392156862745,Extreme Greed,78,Extreme Greed,Extreme Greed -> Extreme Greed
2024-06-07,8902.467416,178,2,728060.25,0.010973723555981798,0.3651685393258427,Extreme Greed,77,Extreme Greed,Extreme Greed -> Extreme Greed
2024-06-08,129.13883900000002,8,1,27903.85,0.005071397071757492,1.0,Greed,72,Extreme Greed,Extreme Greed -> Greed
2024-06-10,31.266804999999998,18,1,11278.16,0.002057482253916932,0.0,Greed,72,Greed,Greed -> Greed
2024-06-11,4320.631811,17,2,34444.41,0.08314556782413907,0.5294117647058824,Greed,74,Greed,Greed -> Greed
2024-06-12,-21886.531493,78,1,106886.71,-0.15696144087353353,0.0,Greed,72,Greed,Greed -> Greed
2024-06-13,6632.757115,20,2,80049.19,0.15385309903520755,0.15,Greed,70,Greed,Greed -> Greed
2024-06-14,10258.592609,15,1,41879.7,0.2453031828320553,0.0,Greed,74,Greed,Greed -> Greed
2024-06-15,3369.958346,38,2,535380.57,0.009244459134078795,1.0,Greed,74,Greed,Greed -> Greed
2024-06-17,10599.502375,26,2,209355.04,0.08418916477253123,0.15384615384615385,Greed,71,Greed,Greed -> Greed
2024-06-18,282.57636,4,1,25299.510000000002,0.011169242924967054,1.0,Greed,74,Greed,Greed -> Greed
2024-06-19,4887.656944,31,2,367911.97,0.012311475738253898,1.0,Greed,64,Greed,Greed -> Greed
2024-06-20,57478.456026,8,1,169507.75,0.3419686619174635,1.0,Greed,60,Greed,Greed -> Greed
2024-06-21,773.5582039999999,3,1,29223.769999999997,0.026470171085255775,0.0,Greed,63,Greed,Greed -> Greed
2024-06-22,756.876565,8,1,75799.25,0.009985274912206896,1.0,Neutral,53,Greed,Greed -> Neutral
2024-06-25,4869.353105,11,1,52649.76,0.09252205372454254,0.0,Fear,30,Neutral,Neutral -> Fear
2024-06-26,4197.732182,21,1,319197.26,0.013147584922280822,1.0,Neutral,46,Fear,Fear -> Neutral
2024-06-29,6150.326145,24,2,247190.91,0.042173585892308345,0.041666666666666664,Fear,30,Neutral,Neutral -> Fear
2024-07-01,5065.839308,26,2,278385.62,0.026078236353254555,1.0,Neutral,53,Fear,Fear -> Neutral
2024-07-02,2421.253116,13,1,33074.42,0.06137528376860461,0.38461538461538464,Neutral,51,Neutral,Neutral -> Neutral
2024-07-03,1118.387284,4,1,28882.899999999998,0.038721433963592955,0.0,Neutral,50,Neutral,Neutral -> Neutral
2024-07-06,108.87217799999999,7,1,1616.7399999999998,0.07299152082882814,1.0,Fear,26,Neutral,Neutral -> Fear
2024-07-07,61.428942,10,1,498.75,0.12316580454607151,1.0,Fear,29,Fear,Fear -> Fear
2024-07-09,648.984412,15,1,2736.45,0.23227538475115375,1.0,Fear,27,Fear,Fear -> Fear
2024-07-10,11977.734907,38,2,612908.21,0.0679320918926064,1.0,Fear,28,Fear,Fear -> Fear
2024-07-11,1876.812082,9,1,85881.14,0.021853613619591254,1.0,Fear,29,Fear,Fear -> Fear
2024-07-12,1412.314654,9,1,13576.32,0.10423197847849962,0.0,Fear,25,Fear,Fear -> Fear
2024-07-13,2913.617837,17,2,139189.19,0.12534818511913037,1.0,Fear,25,Fear,Fear -> Fear
2024-07-15,-1.0,2,1,15176.0,-6.589351519009812e-05,0.0,Neutral,52,Fear,Fear -> Neutral
2024-07-17,1859.269477,155,1,214452.88,0.009711515827570912,0.0,Greed,69,Neutral,Neutral -> Greed
2024-07-18,3803.884311,48,2,565707.72,0.02746556560531942,0.0,Greed,61,Greed,Greed -> Greed
2024-07-19,2155.891114,12,2,87152.69,0.02545794982477505,1.0,Greed,60,Greed,Greed -> Greed
2024-07-20,2299.169566,36,2,89463.46,0.03668511947138427,0.0,Greed,74,Greed,Greed -> Greed
2024-07-21,-2960.716887,236,1,84972.51,-0.04237687476267546,0.0,Greed,74,Greed,Greed -> Greed
2024-07-22,1517.119876,106,2,176071.63,-0.025425656604130577,0.08490566037735849,Greed,70,Greed,Greed -> Greed
2024-07-23,89890.302206,364,2,331532.55,0.22945307696652417,0.6291208791208791,Greed,71,Greed,Greed -> Greed
2024-07-24,625.561479,18,1,24136.02,0.024185636022029944,0.0,Greed,69,Greed,Greed -> Greed
2024-07-25,916.7382600000001,10,1,9073.93,0.10153656532541278,0.0,Greed,68,Greed,Greed -> Greed
2024-07-26,2766.513113,61,2,322855.83999999997,0.007850042257991824,0.47540983606557374,Greed,68,Greed,Greed -> Greed
2024-07-27,6400.623656,42,1,788749.6799999999,0.008151256686446789,1.0,Greed,72,Greed,Greed -> Greed
2024-07-28,587.29903,12,1,8756.13,0.06704794154554655,0.0,Greed,71,Greed,Greed -> Greed
2024-07-29,330.80445399999996,16,2,162137.14,0.009274419865510768,0.8125,Greed,74,Greed,Greed -> Greed
2024-07-31,765.690884,14,1,24543.89,0.027992093724655585,0.0,Greed,61,Greed,Greed -> Greed
2024-08-01,167.080017,7,1,11995.66,0.004917599762464247,0.8571428571428571,Neutral,52,Greed,Greed -> Neutral
2024-08-02,782.3681909999999,17,2,60322.34,0.011077820236857416,1.0,Greed,57,Neutral,Neutral -> Greed
2024-08-03,464.1897,1,1,4534.09,0.1023776987223456,0.0,Fear,37,Greed,Greed -> Fear
2024-08-04,-122672.000883,65,3,876375.02,-0.13897542161484236,1.0,Fear,34,Fear,Fear -> Fear
2024-08-05,-13013.665169,38,3,183541.19,-0.008665025942313331,0.9736842105263158,Fear,26,Fear,Fear -> Fear
2024-08-06,267.318048,26,2,795.68,0.31715369179531294,1.0,Extreme Fear,17,Fear,Fear -> Extreme Fear
2024-08-07,188.789255,10,1,1194.55,0.16210125903055378,1.0,Fear,29,Extreme Fear,Extreme Fear -> Fear
2024-08-08,-40.712216999999995,3,1,459.27,-0.0888849458132717,1.0,Extreme Fear,20,Fear,Fear -> Extreme Fear
2024-08-09,18082.071276,58,3,450260.37,0.0296796986535469,0.5689655172413793,Neutral,48,Extreme Fear,Extreme Fear -> Neutral
2024-08-11,847.7766200000001,4,1,20840.300000000003,0.040689885287885016,1.0,Fear,39,Neutral,Neutral -> Fear
2024-08-12,858.6705000000001,6,1,19140.88,0.04486190114544796,0.0,Fear,25,Fear,Fear -> Fear
2024-08-13,212.08102,8,1,7287.15,0.029240937674241973,0.0,Fear,31,Fear,Fear -> Fear
2024-08-14,2168.9015130000003,5,1,39668.42,0.05466556559397172,1.0,Fear,30,Fear,Fear -> Fear
2024-08-16,825.230544,3,1,75832.35,0.01088230190996751,1.0,Fear,27,Fear,Fear -> Fear
2024-08-17,-288.283113,1,1,211.7,-1.3617530136986302,1.0,Fear,25,Fear,Fear -> Fear
2024-08-18,307.201888,12,1,37805.14,0.008162881512001613,1.0,Fear,31,Fear,Fear -> Fear
2024-08-19,339.69958299999996,5,1,50327.34,0.006742088843312737,1.0,Fear,28,Fear,Fear -> Fear
2024-08-20,192.602844,1,1,4913.04,0.03920237653265595,0.0,Fear,30,Fear,Fear -> Fear
2024-08-21,656.200925,54,1,54915.35,0.013830626206490974,0.0,Fear,26,Fear,Fear -> Fear
2024-08-23,1005.30527,3,1,26010.45,0.03865000279092421,1.0,Fear,34,Fear,Fear -> Fear
2024-08-26,231.236918,2,1,67264.19,0.0034377418331372816,0.0,Greed,55,Fear,Fear -> Greed
2024-08-28,1333.359645,2,1,23665.510000000002,0.0563420011282717,0.0,Fear,30,Greed,Greed -> Fear
2024-08-30,256.464,1,1,9739.38,0.02633268236787147,0.0,Fear,34,Fear,Fear -> Fear
2024-08-31,10.882801,13,1,2005.12,0.006737240954609809,0.8461538461538461,Fear,29,Fear,Fear -> Fear
2024-09-01,137.433093,5,1,7862.46,0.019951932257335388,0.2,Fear,26,Fear,Fear -> Fear
2024-09-04,1065.785132,8,1,94450.69,0.02666728424994333,0.375,Fear,27,Fear,Fear -> Fear
2024-09-06,-1104.856765,38,1,4056.43,-0.27523836121909023,1.0,Extreme Fear,22,Fear,Fear -> Extreme Fear
2024-09-10,-219.729659,2,1,1780.54,-0.1233435337559849,1.0,Fear,33,Extreme Fear,Extreme Fear -> Fear
2024-09-18,-878.684794,134,1,12622.0,-0.06752568903514276,1.0,Neutral,45,Fear,Fear -> Neutral
2024-09-20,9585.03428,9,1,284571.81,0.031035344409917637,1.0,Neutral,54,Neutral,Neutral -> Neutral
2024-09-21,36165.56933,23,1,165648.12,0.21862562120081588,1.0,Neutral,54,Neutral,Neutral -> Neutral
2024-09-23,334.760796,1,1,30334.3,0.01103571851006946,1.0,Neutral,50,Neutral,Neutral -> Neutral
2024-09-26,439.812513,2,1,60440.89000000001,0.007276734443830342,1.0,Neutral,50,Neutral,Neutral -> Neutral
2024-09-30,2710.626288,5,1,117281.06,0.023112225159110805,0.0,Greed,61,Neutral,Neutral -> Greed
2024-10-03,100.375782,3,1,6513.53,0.015325167908158107,1.0,Fear,37,Greed,Greed -> Fear
2024-10-05,5767.161892,24,1,505604.96,0.010746875038795569,0.9583333333333334,Neutral,49,Fear,Fear -> Neutral
2024-10-06,130.487079,5,1,60132.09,0.0021812375407370124,1.0,Neutral,50,Neutral,Neutral -> Neutral
2024-10-08,5396.546638,33,1,414585.14,0.013058159667589908,0.0,Neutral,49,Neutral,Neutral -> Neutral
2024-10-09,396.06272,3,1,60396.659999999996,0.006557692745967395,1.0,Neutral,49,Neutral,Neutral -> Neutral
2024-10-11,8885.327477,18,1,428910.68,0.02071602442757638,1.0,Fear,32,Neutral,Neutral -> Fear
2024-10-12,541.55471,7,1,109716.35,0.005397512966785825,0.14285714285714285,Neutral,49,Fear,Fear -> Neutral
2024-10-14,1913.61958,5,1,61916.020000000004,0.030903761250705993,1.0,Neutral,48,Neutral,Neutral -> Neutral
2024-10-15,1170.2260760000001,4,1,41171.79,0.028402367971574624,1.0,Greed,65,Neutral,Neutral -> Greed
2024-10-16,219.480876,3,1,40224.32,0.005515777182823942,1.0,Greed,73,Greed,Greed -> Greed
